,precision,recall,f1-score,support
frontal,0.9940119760479041,1.0,0.996996996996997,166.0
frontal_90,0.9764705882352941,1.0,0.988095238095238,166.0
frontal_180,0.9717514124293786,1.0,0.9856733524355301,172.0
frontal_270,0.9939759036144579,0.9939759036144579,0.9939759036144579,166.0
left,0.9877300613496932,0.9938271604938271,0.9907692307692307,162.0
left_90,0.9937888198757764,0.9876543209876543,0.9907120743034055,162.0
left_180,0.9937106918238994,0.9753086419753086,0.984423676012461,162.0
left_270,0.9817073170731707,0.9938271604938271,0.9877300613496932,162.0
lower,1.0,1.0,1.0,180.0
lower_90,1.0,0.9948979591836735,0.9974424552429668,196.0
lower_180,1.0,0.9948979591836735,0.9974424552429668,196.0
lower_270,1.0,1.0,1.0,196.0
others,1.0,1.0,1.0,397.0
right,0.994475138121547,0.994475138121547,0.994475138121547,181.0
right_90,0.994413407821229,0.9834254143646409,0.9888888888888889,181.0
right_180,1.0,0.9779005524861878,0.988826815642458,181.0
right_270,1.0,0.9834254143646409,0.9916434540389973,181.0
upper,0.9940828402366864,1.0,0.9970326409495549,168.0
upper_90,1.0,1.0,1.0,168.0
upper_180,1.0,1.0,1.0,168.0
upper_270,0.9940828402366864,1.0,0.9970326409495549,168.0
accuracy,0.994328435163702,0.994328435163702,0.994328435163702,0.994328435163702
macro avg,0.9938190950888439,0.9939816964414019,0.993864810602569,3879.0
weighted avg,0.9943969543552164,0.994328435163702,0.9943295751570467,3879.0
